Cospri's Malice,コスプリの悪意
Kongor's Undying Rage,コンゴールの不滅のRage
Lakishu's Blade,ラキシュの刃
Last Resort,ラストリゾート
Lavianga's Wisdom,ラヴィアンガの知恵
Lifesprig,ライフスプリッグ
Limbsplit,リムスプリット
Lioneye's Glare,ライオンアイの睥睨
Mark of the Doubting Knight,疑念の騎士の印
Marohi Erqi,マロヒ・エルキ
Martyr of Innocence,イノセンスの殉教者
Midnight Bargain,ミッドナイト・バーゲン
Mightflay,マイトフレイ
Mirebough,マイアボウ
Mjölner,ミョルナー
Mon'tregul's Grasp,モン'トレグルズ・グラスプ
Moonbender's Wing,ムーンベンダーの翼
Moonsorrow,ムーンソロウ
Mortem Morsu,モルテム・モルス
Nebulis,ネビュリス
Nebuloch,ネブロック
Ngamahu's Flame,ンガマフの炎
Null's Inclination,ヌルの傾倒
Nuro's Harp,ヌロズ・ハープ
Nycta's Lantern,ニクタズ・ランタン
Obliteration,オブリタレーション
Oni-Goroshi,鬼哭
Ornament of the East,東の装飾品
Oro's Sacrifice,オロの生贄
Panquetzaliztli,パンケツァリツリ
Paradoxica,パラドキシカ
Pillar of the Caged God,囚われた神の柱
Piscator's Vigil,ピスカトールの警戒
Pledge of Hands,プレッジ・オブ・ハンズ
Prismatic Eclipse,プリズマティック・エクリプス
Quecholli,ケチョーリ
Queen's Decree,クイーンズ・ディクリー
Queen's Escape,クイーンズ・エスケープ
Quill Rain,針の雨
Razor of the Seventh Sun,セブンス・サン・レイザー
Reach of the Council,リーチ・オブ・ザ・カウンシル
Realm Ender,レルム・エンダー
Realmshaper,レルムシェイパー
Reaper's Pursuit,リーパーズ・パースート
Rebuke of the Vaal,ヴァールの叱責
Redbeak,レッドビーク
Reefbane,リーフベイン
Relentless Fury,容赦なき激怒
Reverberation Rod,リバーブレーションロッド
Rigwald's Charge,リグワルドの突撃
Rigwald's Command,リグワルドの命令
Rigwald's Savagery,リグワルドの残忍性
Rive,リーヴ
Roth's Reach,ロスのリーチ
Sanguine Gambol,サンギネ・ギャンボル
Scaeva,スカーヴァ
Severed in Sleep,スリープ・イン・スリープ
Shade of Solaris,ソーラリスの影
Shimmeron,シマロン
Shiversting,シヴァースティング
Sign of the Sin Eater,シン・イーターの印
Silverbough,シルバーボウ
Silverbranch,シルバーブランチ
Singularity,シングラリティ
Sinvicta's Mettle,シンヴィクタの気概
Sire of Shards,欠片の主権
Slivertongue,スリヴァータン
Song of the Sirens,サイレンの歌
Soul Taker,魂の奪取者
Soulwrest,ソウルレスト
Spine of the First Claimant,最初の請求者の背骨
Starforge,スターフォージ
Storm Cloud,ストームクラウド
Storm Prison,ストームプリズン
Story of the Vaal,ヴァールの物語
Taproot,タップルート
Taryn's Shiver,テアレンの震え
Terminus Est,ターミナス・エスト
The Blood Reaper,ザ・ブラッドリーパー
The Blood Thorn,血の棘
The Cauteriser,カウテライザー
The Consuming Dark,貪り食う闇
The Crimson Storm,クリムゾン・ストーム
The Dancing Dervish,ダンシング・ダーヴィッシュ
The Dancing Duo,ダンシングデュオ
The Dark Seer,ザ・ダークシアー
The Enmity Divine,神聖なる敵意
The Goddess Bound,ザ・ゴッデス・バウンド
The Goddess Scorned,ザ・ゴッデス・スコーン
The Goddess Unleashed,解放された女神
The Grey Spire,グレイ・スパイア
The Gryphon,グリフォン
The Harvest,ザ・ハーベスト
The Poet's Pen,詩人のペン
The Princess,プリンセス
The Rippling Thoughts,波打つ思考
The Scourge,ザ・スカージ
The Screaming Eagle,叫ぶ鷲
The Searing Touch,焼けつく手触り
The Stormheart,ストームハート
The Stormwall,ストームウォール
The Supreme Truth,ザ・スプリーム・トゥルース
The Tempest,テンペスト
The Tempestuous Steel,テンペストゥアス・スティール
The Wasp Nest,ワスプ・ネスト
The Whispering Ice,囁く氷
Tidebreaker,タイドブレーカー
Touch of Anguish,アングィッシュの接触
Tremor Rod,トレマーロッド
Trypanon,トリパノン
Tulborn,トゥルボーン
Tulfall,タルフール
Twyzel,トワイゼル
Ungil's Gauche,ウンギルズ・ゴーシュ
United in Dream,ドリーム・ユナイテッド
Uul-Netol's Embrace,ウール・ネトルの抱擁
Uul-Netol's Kiss,ウル・ネトールの接吻
Varunastra,ヴァルナストラ
Void Battery,ヴォイドバッテリー
Voidforge,ヴォイドフォージ
Voidhome,ヴォイドホーム
Voltaxic Rift,ボルタキシック・リフト
Vulconus,ヴァルケナス
White Wind,ホワイトウィンド
Wideswing,ワイドスウィング
Widowmaker,ウィドウメーカー
Wildslash,ワイルドスラッシュ
Windripper,ウィンドリッパー
Wings of Entropy,エントロピーの翼
Xirgil's Crank,シアギルズ・クランク
Xoph's Inception,ショフィの創始
Xoph's Nurture,ショフィの育成
Farsight,ファイトサイト
Terror,テラー
Vampire's Might,ヴァンパイアの力
The Naming Temporary,ザ・ネーミング・テンポラリー
Zerphi's Youth,ゼルフィの若さ
Underdog's Fury,アンダードッグの怒り
Thread of Hope,希望の糸
Replica Conqueror's Efficiency,レプリカ征服者の効率
Replica Fragile Bloom,レプリカ脆き脆き開花
Replica Blood Sacrifice,レプリカ血の犠牲
Replica Primordial Might,レプリカ原始の力
Cannibalistic Habits,共食いの習慣
Hotheaded,燃え上がる怒り
Specialised,特化した
Miser of Misery,悲惨の吝嗇家
Choking Ash,窒息する灰
Straight and True,真っ直ぐで真実
Replica Hotheaded,レプリカ・ホットヘッド
Replica Pure Talent,レプリカ・純粋な才能
Replica Cheap Construction,レプリカ・安価な建設
Lord of Steel,鋼の支配者
Selfless Leadership,無私のリーダーシップ
Boundless Grasp,果てなき掌握
Replica Reckless Defence,レプリカ 無謀なる防御
Replica Unstable Payload,レプリカ 不安定な弾頭
Endless Misery,果てなき苦痛
Apex Mode,頂点モード
Nadir Mode,底点モード
Split Personality,分裂した個性
Voices,声
Megalomaniac,メガロマニアック
One With Nothing,無と一体
Kitava's Teachings,キタヴァの教え
The Interrogation,拷問
Calamitous Visions,破滅的な幻視
Natural Affinity,自然な親和性
The Siege,包囲網
Child of Violence,暴力の子
The Front Line,最前線
Tear of Entropy,エントロピーの涙
Meginord's Vigour,メギノーズ・ヴィガー
Honourhold,オナーホールド
Ullr's Advent,ウルルの到来
Demigod's Immortality,デミゴッドの不滅
Hands of the High Templar,ハイ・テンプラーの手
Crown of the Inward Eye,内なる眼の王冠
The Ivory Tower,象牙の塔
Painseeker,ペインシーカー
Eye of Malice,悪意の眼
Perfidy,背信行為
Algor Mortis,アルゴル・モルティス
Assailum,アセイラム
Beacon of Madness,狂気の灯火
Doryani's Prototype,ドリヤニの試作品
Abhorrent Interrogation,忌まわしき尋問
Great Old One's Tentacles,グレート・オールド・ワンの触手
Fleshcrafter,フレッシュクラフター
The Tempest's Liberation,テンペストの解放
Forbidden Shako,禁断のシャコ
Plume of Pursuit,追跡者の羽根飾り
Corpsewalker,死体歩き
Replica Lioneye's Paws,レプリカ・ライオネイズ・ポーズ
Replica Abyssus,レプリカ・アビスス
Replica Atziri's Acuity,レプリカ・アジリの鋭敏
Replica Kalisa's Grace,レプリカ・カリサの恵み
Replica Ambu's Charge,レプリカ・アンブのチャージ
Replica Shroud of the Lightless,レプリカ・シャウド・オブ・ザ・ライトレス
Maw of Mischief,マウ・オブ・ミシチフ
Replica Kaom's Heart,レプリカ・カオムの心臓
Expedition's End,エクスペディションズ・エンド
Replica Perfect Form,レプリカ・パーフェクト・フォーム
Replica Loreweave,レプリカ・ロアウィーブ
Replica Three-step Assault,レプリカ・スリーステップ・アサルト
Replica Allelopathy,レプリカ・アレルパシー
Replica Alpha's Howl,レプリカ・アルファズ・ハウ
Replica Forbidden Shako,レプリカ・フォービドゥン・シャコ
Replica Restless Ward,レプリカ・レストレス・ウォード
Replica Farrul's Fur,レプリカ・ファルルズ・ファー
Replica Eternity Shroud,レプリカ・エターニティ・シュラウド
Replica Alberon's Warpath,レプリカ・アルベロンズ・ウォークパス
Replica Stampede,レプリカ・スタンペード
Replica Voidwalker,レプリカ・ボイドウォーカー
Replica Grip of the Council,レプリカ・グリップ・オブ・ザ・カウンシル
Replica Volkuur's Guidance,レプリカ・ボルクアーズ・ガイダンス
Replica Leer Cast,レプリカ・リア・キャスト
Willclash,ウィルクラッシュ
Replica Red Trail,レプリカ・赤の軌跡
Replica Bones of Ullr,レプリカ・ウルズの骨
Replica Inya's Epiphany,レプリカ・イニヤの啓示
Replica Veil of the Night,レプリカ・ヴェール・オブ・ザ・ナイト
Mercenary's Lot,傭兵の領分
Blunderbore,ブランダーボア
The Admiral,ジ・アドミラル
Crest of Desire,クレスト・オブ・デザイア
The Fledgling,ザ・フリジリング
Legacy of Fury,レガシー・オブ・フューリー
Hand of the Fervent,ハンド・オブ・ザ・ファーベント
Ancient Skull,エンシェント・スカル
Viridi's Veil,ヴィリディスのヴェール
Doppelgänger Guise,ドッペルゲンガー・ガイズ
Blood of Summer,夏の血
Rust of Winter,冬の錆
Splinter of the Moon,月の破片
Thunder of the Dawn,夜明けの雷
Vestige of Divinity,神性の痕跡
Fragment of Eternity,永遠の断片
Relic of the Cycle,サイクルのレリック
Scar of Fate,運命の傷跡
The Black Cane,ブラック・ケイン
The Saviour,救世主
The Surging Thoughts,高まる思考
The Yielding Mortality,屈服する死
Witchhunter's Judgment,魔女狩りの審判
Law of the Wilds,法の野性
Replica Iron Commander,レプリカ・アイアン・コマンダー
Actum,アクタム
Replica Bitterdream,レプリカ・ビタードリーム
The Iron Mass,アイアン・マス
Replica Soul Taker,レプリカ・ソウルテイカー
Replica Harvest,レプリカ・ハーベスト
Replica Quill Rain,レプリカ・クイルレイン
Replica Windripper,レプリカ・ウィンドリッパー
Replica Bloodplay,レプリカ・ブラッドプレイ
Replica Ungil's Gauche,レプリカ・ウンギルのゴーシュ
Replica Cold Iron Point,レプリカ・コールドアイアン・ポイント
Replica Paradoxica,レプリカ・パラドキシカ
Replica Tempestuous Steel,レプリカ・テンペストゥアス・スティール
Replica Innsbury Edge,レプリカ・インズベリー・エッジ
Replica Last Resort,レプリカ・ラストリゾート
Replica Heartbreaker,レプリカ ハートブレイカー
Replica Dreamfeather,レプリカ ドリームフェザー
Replica Earendel's Embrace,レプリカ エアレンデルの抱擁
Replica Oro's Sacrifice,レプリカ オロの生贄
Replica Tulfall,レプリカ トゥルフォール
Replica Blood Thorn,レプリカ ブラッドソーン
Replica Advancing Fortress,レプリカ アドバンシングフォートレス
Replica Allure,レプリカ アリュール
Replica Frostbreath,レプリカ フロストブレス
Replica Trypanon,レプリカ トリパノン
Replica Duskdawn,レプリカ ダスクドーン
Replica Fencoil,レプリカ フェンコイル
Replica Twyzel,レプリカ トワイゼル
Replica Midnight Bargain,レプリカ ミッドナイトバーゲン
Replica Kongor's Undying Rage,レプリカ コンゴールの不滅のRage
Replica Nebulis,レプリカ ネビュリス
Replica Wings of Entropy,レプリカ エントロピーの翼
Replica Infractem,レプリカ インフラクテム
The Hidden Blade,隠された刃
The Fulcrum,支点
Demigod's Authority,半神の権威
Goblinedge,ゴブリンエッジ
Sidhebite,シードバイト
Replica Atziri's Foible,レプリカ アツィリの愚行
Fury Valve,フューリーバルブ
Willowgift,ウィローギフト
Replica Karui Ward,レプリカ カルーイの護符
Replica Hyrri's Truth,レプリカ ヒリの真実
The Ephemeral Bond,儚き絆
Frost Unbroken,霜の途切れぬ
Replica Winterheart,レプリカ・ウィンターハート
Leadership's Price,指導者の対価
The Felbog Fang,フェルボグの牙
Retaliation Charm,報復のチャーム
Replica Doedre's Damning,レプリカ・ドエドレの呪い
Fated End,運命の終焉
The Highwayman,ハイウェイマン
Astral Projector,アストラルプロジェクター
Storm Secret,嵐の秘密
Replica Tasalio's Sign,タサリオの印（レプリカ）
Warrior's Legacy,戦士の遺産
Replica Emberwake,レプリカ・燃え盛る目覚め
Blackflame,黒い炎
Profane Proxy,冒涜の代理人
Replica Malachai's Artifice,レプリカ・マラカイの策略
Replica Voideye,レプリカ・ヴォイドアイ
Rotblood Promise,腐敗血の誓約
Chains of Time,時の鎖
Replica Prismweave,レプリカ・プリズムウィーブ
Chains of Emancipation,解放の鎖
Replica Bated Breath,レプリカ・息をのむ
Leash of Oblation,奉納の鎖
Bear's Girdle,熊のベルト
Replica Headhunter,レプリカ・ヘッドハンター
Pyroshock Clasp,パイロショック・クラスプ
Mother's Embrace,母の抱擁
Replica Siegebreaker,レプリカ・包囲破壊者
Survivor's Guilt,生存者の罪悪感
The Torrent's Reclamation,激流の奪還
Replica Soul Tether,レプリカ・ソウルテザー
The Druggery,薬屋
Arn's Anguish,アーンの苦悶
Olesya's Delight,オレシャの喜び
Graven's Secret,グレイヴンの秘密
Acton's Nightmare,アクトンズ・ナイトメア
The Coward's Trial,臆病者の試練
Maelström of Chaos,混沌の渦
Mao Kun,マオ・クン
Olmec's Sanctum,オルメックの聖域
Poorjoy's Asylum,プアジョイの精神病院
Vaults of Atziri,アジリの金庫
Death and Taxes,死と税金
Untainted Paradise,汚されざる楽園
Oba's Cursed Trove,オバの呪われた宝箱
Whakawairua Tuahu,ワカワイルア・トゥアウ
Hall of Grandmasters,グランドマスターの広間
Remnant of Empires,帝国の残滓
BlackGuardz,ブラックガーヅ
Wraeclast Pantheon,ラエクラストの万神殿
Convent of the Twins' Flame,双子の炎の修道院
Slivers of Providence,摂理の破片
Sandstorm Visage,砂嵐の容貌
The Vinktar Square,ヴィンクター広場
"Caer Blaidd, Wolfpack's Den",カー・ブライド、狼群の巣
The Perandus Manor,ペランダス邸
The Putrid Cloister,腐敗した回廊
The Beachhead,ビーチヘッド
Pillars of Arun,アルンの柱
The Twilight Temple,黄昏の寺院
The Eternal Struggle,永遠の闘争
Doryani's Machinarium,ドリアニの機械室
Atziri's Vessel,アジリの器
Cortex,コーテックス
Altered Distant Memory,変質した遠い記憶
Augmented Distant Memory,増強された遠い記憶
Twisted Distant Memory,歪んだ遠い記憶
Rewritten Distant Memory,書き換えられた遠い記憶
Manastorm,マナストーム
Mistwall,ミストウォール
Stalwart Defenders,不屈の守護者
Misinformation,誤情報
Irresistable Temptation,抗いがたい誘惑
Territories Unknown,未知の領域
War Among the Stars,星々の戦争
Booming Populace,隆盛する民衆
Emperor's Vigilance,皇帝の警戒
The Immortal Will,不死なる意志
The Shattered Divinity,砕かれた神性
Scorpion's Call,サソリの呼び声
Infused Beachhead,注入されたビーチヘッド
Replica Sorrow of the Divine,レプリカ 嘆きの神
Replica Tukohama's Fortress,レプリカ トゥコハマの要塞
Replica Maloney's Mechanism,レプリカ マロニーの機構
Replica Soul Strike,レプリカ ソウルの打撃
Replica Mistwall,レプリカ ミストウォール
Replica Victario's Charity,レプリカ ヴィクトリオの慈善
Replica Lavianga's Spirit,レプリカ ラヴィアンガの魂
Replica Rumi's Concoction,レプリカ ルミの薬
Replica Cortex,レプリカ コーテックス
Replica Pillars of Arun,レプリカ アルンの柱
Replica Poorjoy's Asylum,レプリカ プアジョイの精神病院
Font of Thunder,雷の泉
Shattershard,シャターシャード
Contract: Jamanra's Rest,契約：ジャマンラの休息地
Contract: Breaking the Unbreakable,契約：砕けぬものを砕く
Contract: Heart of Glory,契約：栄光の心臓
Contract: The Slaver King,契約：奴隷王
Contract: Death to Darnaw,契約：ダルナウに死を
Contract: The Twins,契約：双子
The Ghastly Theatre,忌まわしき劇場
Qotra's Regulator,コトラの調整器
The Vast Horizon,広大な地平線
The Walls,壁
The Claim,主張
The Builder,建築者
The Closest Peak,最も近い頂
Restless Cycles,絶え間ないサイクル
The False Hope,偽りの希望
Atop the Atlas,アトラスの頂
Usurper's Penance,座を奪う者の苦行
Glimpse of Chaos,混沌の片鱗
Hateforge,ヘイトフォージ
Temptation Step,テンプテーション・ステップ
Faithguard,フェイスガード
Cadigan's Crown,カディガンズ・クラウン
Nightgrip,ナイトグリップ
Medved's Challenge,メドヴェッズ・チャレンジ
Vorana's March,ヴォラナの行進
Olroth's Charge,オルロスのチャージ
Cane of Kulemak,クーラマクの杖
Atziri's Rule,アッツィリの統治
Yaomac's Accord,ヤオマックの協定
Relic of the Pact,盟約のレリック
Triumvirate Authority,三頭政治の権威
Seething Fury,煮え滾る憤激
Mahuxotl's Machination,マフゾトールの陰謀
The Scales of Justice,正義の天秤
Tecrod's Gaze,テクロッドの凝視
Ulaman's Gaze,ウラマンの凝視
Amanamu's Gaze,アマナムの凝視
Steelworm,スティールワーム
Kurgal's Gaze,クルガルの凝視
Olroth's Resolve,オルロスの決意
Starlight Chalice,星明かりの聖杯
Elixir of the Unbroken Circle,不壊の円の霊薬
Vorana's Preparation,ヴォラナの準備
Stasis Prison,ステイシス・プリズン
Gravebind,グレーヴバインド
Stranglegasp,ストラングルガスプ
Uul-Netol's Vow,ウル＝ネトルの誓い
Band of the Victor,勝利者の帯
Mageblood,メイジブラッド
The Squire,ザ・スクワイア
The Oppressor,圧制者
Fairgraves' Bearing,フェアグレイブの態度
Stormblast,ストームブラスト
Bartek's Finger,バルテックの指
Boreal Shepherd,ボレアル・シェパード
Celestial Fragment,天体の断片
Ironweld,アイアンウェルド
Alkem Eira,アルケム・エイラ
Death Rattle,死の震え
Ghostmarch,ゴーストマーチ
Santoni's Faith,サントニの信仰
Mana Sponge,マナスポンジ
The Rathorn,ザ・ラスホーン
Leviathan Ivory,リヴァイアサンアイボリー
Deadman's Hand,デッドマンズ・ハンド
Vizaru's Folly,ビザルズ・フォリー
Arimagius' Honor,アリマギウス・オナー
Wurmfist,ワー厶フィスト
Dewath's Hide,デューウェス・ハイド
Disjunction,ディスジャンクション
The Learning Stone,学びの石
Duskwing,ダスクウィング
Spiritskin,スピリッツキン
Rumblemarch,ランブルマーチ
Felltooth,フェルス・トゥース
Mordhau,モルドハウ
Pagan Geis,ペイガン・ゲイス
Prospero's Vault,プロスペローズ・ヴォールト
First Piece of the Arcane,秘術の第一片
Second Piece of the Arcane,秘術の第二片
Third Piece of the Arcane,秘術の第三片
First Piece of Focus,集中力の第一片
Second Piece of Focus,集中力の第二片
Third Piece of Focus,フォーカスの第三の断片
Fourth Piece of Focus,フォーカスの第四の断片
First Piece of Brutality,ブルータリティの第一の断片
Second Piece of Brutality,ブルータリティの第二の断片
Third Piece of Brutality,ブルータリティの第三の断片
First Piece of Time,時の第一の断片
Second Piece of Time,時の第二の断片
First Piece of Directions,方向の第一の断片
Second Piece of Directions,方向の第二の断片
Third Piece of Directions,方向の第三の断片
First Piece of Storms,嵐の第一の断片
Second Piece of Storms,嵐の第二の断片
Third Piece of Storms,嵐の第三の断片
Borrowed Power,ボロード・パワー
The Rack,拷問台
Bloodletter,ブラッドレター
Galla's Riposte,ギャラのカウンターアタック
Sands of Shakari,シャカリの砂
Lawbreaker,法を破る者
Malachai's Brilliance,マラカイの輝き
Toxic Vapours,有毒な蒸気
Waycarver,ウェイカーヴァー
Irresistible Temptation,抗いがたい誘惑
Ungils's Coil,ウンギルのコイル
Stillwater,スティルウォーター
Battlehaste,バトルヘイスト
Unearth Threshold,掘り起こしの閾値
Melding of the Flesh,肉体の融合
Crystallised Omniscience,結晶化した全能
Sudden Dawn,サドン・ドーン
The Annihilating Light,殲滅の光
Dissolution of the Flesh,肉体の溶解
Polaric Devastation,極地の壊滅
Forbidden Flame,禁断の炎
Forbidden Flesh,禁断の肉体
Ceaseless Feast,シーズレス・フィースト
Inextricable Fate,イネクストリケブル・フェイト
The Gluttonous Tide,貪欲な潮流
Black Zenith,ブラック・ゼニス
Divine Inferno,神聖なる炎
Dawnbreaker,夜明けの破壊者
The Hollow-Eyed Skull,窪んだ目の頭蓋骨
The Basilisk,バジリスク
The Angel of Vengeance,復讐の天使
The Burden of Truth,真実の重荷
Echoes of Creation,エコーズ・オブ・クリエーション
Call of the Void,虚無の呼び声
Sublime Vision,崇高なる幻視
The Epiphany,エピファニー
The Twisted Trinity,歪んだトリニティ
The Unbridled Tempest,手綱を解かれた嵐
The Narcissist,ナルシシスト
The Depraved,堕落者
The Raging Inferno,猛り狂う業火
Insomnia,不眠症
The Megalomaniac,誇大妄想狂
The Arbiter,調停者
The Infested,巣食われた者
Escalation,エスカレーション
The Benefactor,恩人
The Torturer,拷問者
The Ancient Angler,古の釣り人
Kaom's Spirit,カオムの魂
Soul Ascension,ソウル・アセンション
Ghostwrithe,ゴーストライズ
The Tower of Ordeals,試練の塔
Kalandra's Touch,カランドラの接触
Thrillsteel,スリルスティール
The Poised Prism,均衡のプリズム
Elevore,エレボアー
Will of Chaos,混沌の意志
Ignominious Fate,不名誉な運命
Victorious Fate,勝利の運命
Deadly End,致命的な結末
Rory's Revengance,ロリーのリベンジャンス
Mark2's Mastery,マーク2の熟練
Robbie's Rotten Mace,ロビーの腐敗したメイス
Carl's Crusher,カールのクラッシャー
DrTestapus' Charm,ドクターテスタプスのチャーム
Maligaro's Etcher,マリガロのエッチャー
The Warlord's Annex,軍閥の別館
Annihilation's Approach,アナイアレーションズ・アプローチ
Anathema,アナテマ
Eternal Damnation,永遠の破滅
Progenesis,プロジェネシス
Witchbane,ウイッチベイン
Entropic Devastation,エントロピック・デヴァステーション
Rational Doctrine,合理的教義
Firesong,炎の歌
Stormshroud,ストームシュラウド
Oriath's End,オリアスの終焉
Dawnstrider,ドーンストライダー
The Winds of Fate,運命の風
The Balance of Terror,恐怖の均衡
Echoforge,エコーフォージ
Wilma's Requital,ウィルマス・リクィタル
Doedre's Tongue,ドエドレの舌
Immutable Force,不変の力
The Gilded Chalice,金めっきの聖杯
The Second Sacrament,第二の秘跡
The Hour of Divinity,神聖の時
The Night Lamp,夜のランプ
The Broken Censer,壊れた香炉
The First Crest,第一の紋章
The Original Scripture,原初の聖典
Original Sin,原罪
Stormseeker,ストームシーカー
Ancestral Vision,祖霊の幻視
Tainted Pact,汚染された契約
Blood Price,血の対価
Widowhail,ウィドウヘイル
El'Abin's Visage,エル・アビンのヴィザージ
Soulbound,ソウルバウンド
Bloodnotch,ブラッドノッチ
Tanu Ahi,タヌ・アヒ
The Geomantic Gyre,ジオマンティックジャイア
The Redblade,レッドブレード
Ceinture of Benevolence,慈悲のベルト
Bloodsoaked Medallion,血に染まったメダリオン
The Fourth Vow,ザ・フォース・ヴァウ
Orbala's Stand,オルバラのスタンド
Chain of Endurance,耐久の鎖
Bound Fate,確かな運命
Ikiaho's Promise,イキアホの誓い
Maata's Teaching,マアタの教え
Tawhanuku's Timing,タウハヌクのタイミング
Kahuturoa's Certainty,カフトゥロアの確信
Kaom's Binding,カオムの束縛
Akoya's Gaze,アコヤの凝視
Rakiata's Dance,ラキアタの舞
Ahuana's Bite,アフアナの噛みつき
Kiloava's Bluster,キロアヴァの虚勢
Utula's Hunger,ウトゥーラの飢え
Defiance of Destiny,運命への反抗
Honoured Alliance,名誉ある同盟
Warrior's Tale,戦士の物語
Replica Dragonfang's Flight,竜の牙の飛翔（レプリカ）
The Blood of Innocence,無垢の血
The Chains of Castigation,鎖の懲罰
The Power and the Promise,力と約束
The Trickster's Smile,トリックスターの微笑み
Pragmatism,プラグマティズム
The Untouched Soul,手付かずの魂
Replica Covenant,契約（レプリカ）
Replica Badge of the Brotherhood,一党の記章（レプリカ）
Ixchel's Temptation,イシュチェルの誘惑
Gamblesprint,ギャンブルスプリント
The Burden of Shadows,影の重荷
That Which Was Taken,奪われたもの
Nametaker,ネームテイカー
The Flawed Refuge,欠陥のある避難所
The Adorned,飾り立てられしもの
Replica Hinekora's Sight,ヒネコラの視界（レプリカ）
Replica Heatshiver,ヒートシヴァー（レプリカ）
Replica Hyrri's Ire,ハイリの怒り（レプリカ）
Replica Witchfire Brew,ウィッチファイヤーの醸造（レプリカ）
Replica Pacifism,平和主義（レプリカ）
Replica Fragility,虚弱（レプリカ）
Replica Powerlessness,無力（レプリカ）
Ambition,野心
Cooperation,協力
Beauty,美
Curiosity,好奇心
The Tides of Time,時の潮流
The Celestial Brace,ザ・セレステイアル・ブレイス
Ravenous Passion,貪欲な情熱
Nevalius Inheritance,ネヴァリウスの相続
The Perandus Pact,ペランダスの協定
Grace of the Goddess,女神の恩寵
The Hand of Phrecia,フレシアの手
Veruso's Ambition,ヴェルーソの野望
Grattus Signet,グラッタスの印章
The Apostate,背教者
The Devourer of Minds,精神を貪る者
The Tempest Rising,高まる嵐
The Utmost,最高峰
Circle of Ambition,野望の環
Curio of Decay,崩壊の骨董品
Curio of Potential,潜在能力の骨董品
Curio of Consumption,消費の骨董品
Curio of Absorption,吸収のキュリオ
Wine of the Prophet,予言者のワイン
Bristleboar,毛深い猪
Innsmouth,インスマス
The Black Doubt,黒い疑念
The Endless Night,果てなき夜
The Knight-errant,放浪騎士
Winter's Bite,冬の噛みつき
Doomgate,破滅の門
Wylund's Stake,ワイランドの褒美
Erian's Cobble,エリアンの玉石
Deathrattle,死前喘鳴
Merit of Service,奉仕の真価
Kitoko's Current,キトコの流れ
Corpsewade,コープスウェード
Sands of Silk,絹の砂
The Last Flame,最後の炎
Apron of Emiran,エミレの前掛け
Treefingers,ツリーフィンガーズ
Couture of Crimson,紅のクチュール
The Wailing Wall,嘆きの壁
Wulfsbane,ウルフスベイン
Hoghunt,豚狩り
Gloomform,暗がりの姿
The Barrow Dweller,古墳の住人
Radiant Grief,輝く嘆き
Dusk Vigil,夕闇の番
Enfolding Dawn,包み込む夜明け
Sanguine Diviner,血の占い棒
Enezun's Charge,エネズンの突撃
Igniferis,イグニフェリス
Ligurium Talisman,リグリウムの魔除け
Nighthowl,ナイトハウール
Rondel of Fragility,脆弱のロンデル
Fixation of Yix,イクスの凝視
Beacon of Azis,アジスの標
Fireflower,ファイアフラワー
Idol of Uldurn,ウルダーンの偶像
The Everlasting Gaze,不朽の眼差し
Revered Resin,敬われし樹脂
Surefooted Sigil,確かな足取りの印章
Goregirdle,ゴアガードル
Spirit Link,スピリットリンク
Silverpoint,シルバーポイント
Waistgate,ウェイストゲート
Cat O' Nine Tails,キャット・オナインテイルズ
Midnight Braid,真夜中の組紐
Shavronne's Satchel,シャヴロンの鞄
Victario's Study,ビクトリオの書斎
Keelhaul,竜骨くぐり
Birthright Buckle,遺産のバックル
Infernoclasp,地獄の留め金
Dustbloom,ダストブルーム
Quatl's Molt,クアトルの換羽
The Dancing Mirage,舞う蜃気楼
Redflare Conduit,緋炎の導管
Zerphi's Serape,ゼルフィのセラーペ
The Velvet Orchestra,ベルベットオーケストラ
Necromantle,ネクロマントル
Prayers for Rain,雨乞い
Tetzlapokal's Desire,テツラポカルの欲望
Blackbraid,黒い組紐
Edyrn's Tusks,エディルンの牙
Titanrot Cataphract,タイタンロットのカタフラクト
Coat of Red,赤のコート
Irongrasp,アイアングラスプ
Pariah's Embrace,パーリアの抱擁
Widow's Reign,未亡人の統治
Husk of Dreams,夢の殻
Waveshaper,ウェーブシェイパー
Briarpatch,ブライアパッチ
Sibling Rivalry,兄弟喧嘩
Powertread,パワートレッド
Legionstride,リージョンストライド
Trampletoe,踏みつぶす爪先
Birth of Fury,怒りの誕生
Obern's Bastion,オバーンの砦
Shankgonne,シャンクゴンヌ
Timberwolf,ティンバーウルフ
Falling Snow,降る雪
Ironbound,鉄縛り
Splinterheart,スプリンターハート
Dealer's Hand,ディーラーの手
Mist Whisper,霧の囁き
Rampart Raptor,城壁の略奪者
Melting Maelstrom,溶解する大渦
Svalinn,スヴァリン
Keeper of the Arc,弧の守りて
Olrovasara,オルロヴァサラ
Threaded Light,光の糸
Effigy of Cruelty,残酷の人型
Carrion Call,死体の呼び声
Northpaw,北の脚
Grip of Winter,冬の掌握
Idle Hands,暇人の手
Plaguefinger,疫病の指
Killjoy,キルジョイ
Painter's Servant,画家の従者
Candlemaker,キャンドルメーカー
Nightscale,ナイトスケール
Dreadfist,ドレッドフィスト
Jarngreipr,ヤールングレイプル
Deathblow,デスブロー
Aerisvane's Wings,エーリスヴェインの翼
Constricting Command,締め付ける命令
